titulo;autor;año;descripcion;tecnica;galeria;img
Conposición III;Limber Arapa;2020;Exposicion Individual de Pintura:Reconstrucción;Mixta sobre lienzo;III;2131165509
Detalle;Limber Arapa;2020;Exposicion Individual de Pintura:Reconstrucción;Mixta sobre lienzo;III;2131165510
Complementario;Limber Arapa;2020;Exposicion Individual de Pintura:Reconstrucción;Mixta sobre lienzo;III;2131165511
Clásico;Limber Arapa;2020;Exposicion Individual de Pintura:Reconstrucción;Mixta sobre lienzo;III;2131165512
Reconstrucción;Limber Arapa;2020;Exposicion Individual de Pintura:Reconstrucción;Mixta sobre lienzo;III;2131165513
Conposición;Limber Arapa;2020;Exposicion Individual de Pintura:Reconstrucción;Mixta sobre lienzo;III;2131165514
Detalle II;Limber Arapa;2020;Exposicion Individual de Pintura:Reconstrucción;Mixta sobre lienzo;III;2131165515
Harley;Limber Arapa;2020;Exposicion Individual de Pintura:Reconstrucción;Mixta sobre lienzo;III;2131165516

Caricaturizando Exponentes Picasso;Maria Luisa Livisi Niebles;2020;Proyecto 24;Arcilla;VI;2131165552
Caricaturizando Exponentes Dalí;Maria Luisa Livisi Niebles;2020;Proyecto 24;Arcilla;VI;2131165554
S/T;Maria Luisa Livisi Niebles;2020;Proyecto 24;Arcilla;VI;2131165555
Brumas;Maria Luisa Livisi Niebles;2020;Proyecto 24;Arcilla;VI;2131165556
S/T;Maria Luisa Livisi Niebles;2020;Proyecto 24;Arcilla;VI;2131165557
S.P. Carnoso;Maria Luisa Livisi Niebles;2020;Proyecto 24;Arcilla;VI;2131165558
Anidar;Maria Luisa Livisi Niebles;2020;Proyecto 24;Arcilla;VI;2131165559
Realidad Distopica-despojo de artista;Maria Luisa Livisi Niebles;2020;Proyecto 24;Arcilla;VI;2131165560
S/T;Maria Luisa Livisi Niebles;2020;Proyecto 24;Arcilla;VI;2131165561
Hojas de mi vida;Maria Luisa Livisi Niebles;2020;Proyecto 24;Arcilla;VI;2131165553


